State,geo_value,Closed movie theaters,Reopened movie theaters,Closed movie theaters x2,Reopened movie theaters x2
Alabama,AL,3/28/2020,5/22/2020,0,0
Arizona,AZ,3/21/2020,5/16/2020,6/29/2020,3/5/2021
Arkansas,AR,3/20/2020,5/18/2020,0,0
California,CA,3/19/2020,4/15/2021,0,0
Colorado,CO,3/17/2020,6/18/2020,0,0
Connecticut,CT,3/16/2020,6/17/2020,0,0
Delaware,DE,3/19/2020,6/1/2020,0,0
Florida,FL,4/3/2020,6/5/2020,0,0
Georgia,GA,4/3/2020,4/27/2020,0,0
Idaho,ID,3/25/2020,5/30/2020,0,0
Iowa,IA,3/17/2020,5/22/2020,0,0
Illinois,IL,3/21/2020,6/26/2020,11/20/2020,2/4/2021
Indiana,IN,3/25/2020,6/12/2020,0,0
Kansas,KS,3/30/2020,5/22/2020,0,0
Kentucky,KY,3/18/2020,6/1/2020,0,0
Louisiana,LA,3/17/2020,5/15/2020,0,0
Massachusetts,MA,3/24/2020,7/13/2020,0,0
Maryland,MD,3/16/2020,9/1/2020,0,0
Maine,ME,3/25/2020,7/1/2020,0,0
Michigan,MI,3/16/2020,10/9/2020,11/18/2020,12/21/2020
Minnesota,MN,3/17/2020,6/10/2020,11/21/2020,1/11/2021
Missouri,MO,4/3/2020,5/4/2020,0,0
Mississippi,MS,4/3/2020,6/1/2020,0,0
Montana,MT,3/20/2020,5/15/2020,0,0
North Carolina,NC,3/25/2020,10/2/2020,0,0
North Dakota,ND,3/20/2020,5/1/2020,0,0
Nebraska,NE,4/9/2020,6/22/2020,0,0
New Hampshire,NH,3/28/2020,6/29/2020,0,0
New Jersey,NJ,3/16/2020,9/4/2020,0,0
New Mexico,NM,3/19/2020,3/24/2021,0,0
Nevada,NV,3/21/2020,5/29/2020,0,0
New York,NY,3/16/2020,3/5/2021,0,0
Ohio,OH,3/17/2020,6/10/2020,0,0
Oklahoma,OK,4/1/2020,5/1/2020,0,0
Oregon,OR,3/24/2020,1/29/2021,0,0
Pennsylvania,PA,3/21/2020,7/3/2020,12/12/2020,1/4/2021
Rhode Island,RI,3/23/2020,6/30/2020,11/30/2020,12/21/2020
South Carolina,SC,4/1/2020,8/3/2020,0,0
South Dakota,SD,0,0,0,0
Tennessee,TN,3/23/2020,5/22/2020,0,0
Texas,TX,4/2/2020,5/1/2020,0,0
Utah,UT,3/27/2020,5/1/2020,0,0
Virginia,VA,3/25/2020,7/1/2020,0,0
Vermont,VT,3/25/2020,6/1/2020,0,0
Washington,WA,3/16/2020,2/14/2021,0,0
Wisconsin,WI,3/25/2020,5/13/2020,0,0
West Virginia,WV,3/24/2020,6/5/2020,0,0
Wyoming,WY,3/19/2020,5/15/2020,0,0
